stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,5.0,11.695446200028528,,11.68095850001555,11.695446200028528,12.196708100032993,12.196708100032993,12.196708100032993,12.495665099995676,12.629823800001759,left,-5.0,1,1,0.42320509999990463,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
11,1,5.0,12.6459483000217,,12.629934400029015,12.6459483000217,13.14585959998658,13.14585959998658,13.14585959998658,13.446280000032857,13.646827800024766,left,-5.0,1,1,0.48963119997642934,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
12,1,4.0,13.661999300005846,,13.64694150001742,13.661999300005846,14.16152190003777,14.16152190003777,14.16152190003777,14.462456100038253,14.563538199989125,right,4.0,1,1,0.39599220000673085,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
13,1,4.0,14.57866570004262,,14.563696900033392,14.57866570004262,15.077627399994526,15.077627399994526,15.077627399994526,15.379931900009979,15.496808300027624,left,-4.0,1,1,0.4175979999708943,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
14,1,4.0,15.511348200030625,,15.496941999997944,15.511348200030625,16.01305730000604,16.01305730000604,16.01305730000604,16.329664700024296,16.41310310002882,right,4.0,1,1,0.3875441999989562,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
15,1,3.0,16.427858000039123,,16.413262700021733,16.427858000039123,16.928447199985385,16.928447199985385,16.928447199985385,17.2450397000066,17.379278300039005,left,-3.0,1,1,0.4442911999649368,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
16,1,3.0,17.39439420000417,,17.379385700041894,17.39439420000417,17.878628800041042,17.878628800041042,17.894766499986872,18.178675200033467,18.29600269999355,right,3.0,1,1,0.4009347999817692,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
17,1,3.0,18.31161199999042,,18.29610070004128,18.31161199999042,18.811593700025696,18.811593700025696,18.811593700025696,19.109839299984742,19.144831000012346,left,-3.0,1,1,0.3217890000087209,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
18,0.5,2.0,19.161057099991012,,19.14491430000635,19.161057099991012,19.64408400002867,19.64408400002867,19.661431699991226,19.9447565000155,20.029210200009402,left,-2.0,0,0,0.3827356999972835,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
19,0.5,2.5,20.044042100023944,,20.02932349999901,20.044042100023944,20.544225800025743,20.544225800025743,20.544225800025743,20.84450669999933,20.979207700002007,left,-2.5,1,1,0.4297608999768272,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
20,0.5,2.5,20.993784999998752,,20.97938430000795,20.993784999998752,21.494928400032222,21.494928400032222,21.494928400032222,21.7948277000105,21.912503900006413,right,2.5,1,1,0.41232920001493767,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
21,0.5,2.5,21.926526300027035,,21.912651400023606,21.926526300027035,22.427412700024433,22.427412700024433,22.427412700024433,22.727004899992608,23.04374980001012,left,-2.5,0,0,0.6120620000292547,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
22,0.5,3.0,23.059028499992564,,23.043834600015543,23.059028499992564,23.543916399998125,23.543916399998125,23.561872099991888,23.8441738000256,24.06122969998978,left,-3.0,1,1,0.5045563000021502,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
23,0.5,3.0,24.076304599992,,24.061351100041065,24.076304599992,24.626624700031243,24.626624700031243,24.626624700031243,24.92600139998831,25.09573589998763,right,3.0,1,1,0.4663345000008121,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
24,0.5,3.0,25.109441100037657,,25.09586970001692,25.109441100037657,25.609649599995464,25.609649599995464,25.609649599995464,25.909288900031243,26.12707580003189,left,-3.0,1,1,0.5093118000077084,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
25,0.5,2.5,26.143285600002855,,26.127191000035964,26.143285600002855,26.62679750000825,26.62679750000825,26.643243800033815,26.94261650001863,27.025993300019763,right,2.5,1,1,0.3909560000174679,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
26,0.5,2.5,27.04185790003976,,27.02608020004118,27.04185790003976,27.526962500007357,27.526962500007357,27.54362690000562,27.825636200024746,27.959919699991588,right,2.5,1,1,0.4254772000131197,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
27,0.5,2.5,27.975713399995584,,27.960002200037707,27.975713399995584,28.45992940000724,28.45992940000724,28.476394099998288,28.759672400017735,28.9450530000031,left,-2.5,1,1,0.48106939997524023,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
28,0.5,2.0,28.958826899994165,,28.945188399986364,28.958826899994165,29.460175300017,29.460175300017,29.460175300017,29.774842599988915,29.992523099994287,right,2.0,1,1,0.5199529000092298,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
29,0.5,2.0,30.008719000034034,,29.992602700018324,30.008719000034034,30.492068200022914,30.492068200022914,30.511150200036354,30.791885400016326,30.975632600020617,left,-2.0,1,1,0.47346029995242134,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
30,0.5,2.0,30.991925699985586,,30.97573280002689,30.991925699985586,31.475303300016094,31.475303300016094,31.492358900024556,31.77478020003764,32.35957299999427,left,-2.0,1,1,0.8752639000304043,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
31,0.5,1.5,32.376010500011034,,32.35971809999319,32.376010500011034,32.85911349998787,32.85911349998787,32.8759454000392,33.15899940003874,33.24418219999643,right,1.5,1,1,0.37832140002865344,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
32,0.5,1.5,33.258319700020365,,33.24428310000803,33.258319700020365,33.75799920002464,33.75799920002464,33.75799920002464,34.05694899999071,34.143082200025674,left,-1.5,0,0,0.3711132000316866,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
33,0.5,2.0,34.16133420000551,,34.143214599986095,34.16133420000551,34.657206400006544,34.657206400006544,34.67414190003183,34.957829000020865,35.22545840003295,right,2.0,1,1,0.5575323999510147,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
